COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1981,Abundance (numbers/tow),10.7712,0.2301,6.922,15.0153
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1982,Abundance (numbers/tow),8.2029,0.4464,3.4185,15.7457
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1983,Abundance (numbers/tow),1.3904,0.1222,1.1101,1.6581
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1984,Abundance (numbers/tow),4.3808,0.4051,1.348,7.4724
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1985,Abundance (numbers/tow),7.976,0.2233,5.094,11.1261
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1986,Abundance (numbers/tow),4.9862,0.5451,1.4786,10.1453
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1987,Abundance (numbers/tow),2.4563,0.0998,2.078,2.9029
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1988,Abundance (numbers/tow),8.326,0.1656,6.1029,10.5969
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1989,Abundance (numbers/tow),8.1865,0.4555,1.551,14.8233
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1990,Abundance (numbers/tow),10.7357,0.207,7.0871,14.4676
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1991,Abundance (numbers/tow),4.7541,0.0411,4.4334,5.0732
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1992,Abundance (numbers/tow),8.7838,0.3484,3.8929,14.4057
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1993,Abundance (numbers/tow),8.2859,0.5614,1.7872,18.0595
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1994,Abundance (numbers/tow),14.2344,0.1573,10.6663,18.2535
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1995,Abundance (numbers/tow),2.7648,0.1483,2.1555,3.5255
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1996,Abundance (numbers/tow),10.6981,0.1671,7.9717,13.7595
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1997,Abundance (numbers/tow),8.6631,0.3284,4.4581,13.2892
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1998,Abundance (numbers/tow),6.6863,0.2983,3.6274,10.1511
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1999,Abundance (numbers/tow),21.1174,0.2269,13.887,29.3187
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2000,Abundance (numbers/tow),12.837,0.3178,6.6017,19.9882
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2001,Abundance (numbers/tow),6.4801,0.2113,4.2232,8.9581
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2002,Abundance (numbers/tow),2.6218,0.2523,1.5897,3.7598
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2003,Abundance (numbers/tow),12.0738,0.248,7.2314,16.9715
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2004,Abundance (numbers/tow),2.0985,0.3504,0.9532,3.2692
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2005,Abundance (numbers/tow),3.6917,0.1336,2.9137,4.5362
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2006,Abundance (numbers/tow),4.933,0.1643,3.724,6.4461
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2007,Abundance (numbers/tow),13.7394,0.159,9.836,17.458
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2008,Abundance (numbers/tow),19.1982,0.366,8.1996,31.2251
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2009,Abundance (numbers/tow),25.6579,0.2975,14.2226,39.8341
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2010,Abundance (numbers/tow),27.3856,0.4397,7.3877,47.336
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2011,Abundance (numbers/tow),12.5545,0.2842,7.1062,18.6297
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2012,Abundance (numbers/tow),15.7802,0.5804,4.6548,34.4507
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2013,Abundance (numbers/tow),21.645,0.6922,3.4947,54.4443
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2014,Abundance (numbers/tow),14.7212,0.3628,7.3317,24.6607
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2015,Abundance (numbers/tow),10.1673,0.2557,6.1525,14.6634
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,2016,Abundance (numbers/tow),13.3238,0.2463,8.1247,18.884
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1968,Abundance (numbers/tow),0.5388,0.5301,0.1386,1.0534
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1969,Abundance (numbers/tow),0.3804,0.7327,0,0.8293
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1970,Abundance (numbers/tow),3.983,0.232,2.579,5.5047
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1971,Abundance (numbers/tow),2.5955,0.3775,1.1127,4.2699
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1972,Abundance (numbers/tow),2.1464,0.3042,1.1522,3.2663
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1973,Abundance (numbers/tow),1.4197,0.3945,0.4989,2.3967
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1974,Abundance (numbers/tow),1.744,0.2326,1.0865,2.4833
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1975,Abundance (numbers/tow),2.7422,0.492,0.7197,5.0477
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1976,Abundance (numbers/tow),3.0254,0.2793,1.7383,4.4826
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1977,Abundance (numbers/tow),0.9916,0.5314,0.2639,1.7804
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1978,Abundance (numbers/tow),0.2962,0.4186,0.0999,0.5109
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1979,Abundance (numbers/tow),1.1673,0.1916,0.8124,1.5432
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1980,Abundance (numbers/tow),4.3379,0.2352,2.6424,6.044
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1981,Abundance (numbers/tow),4.3955,0.2208,2.9855,6.2097
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1982,Abundance (numbers/tow),6.992,0.1351,5.447,8.5459
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1983,Abundance (numbers/tow),8.2489,0.1828,5.9227,11.0357
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1984,Abundance (numbers/tow),3.0449,0.2336,1.8913,4.2256
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1985,Abundance (numbers/tow),2.1126,0.1826,1.5166,2.7661
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1986,Abundance (numbers/tow),2.294,0.3397,1.1058,3.4989
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1987,Abundance (numbers/tow),5.6779,0.2851,3.0915,8.2703
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1988,Abundance (numbers/tow),6.5329,0.0881,5.6471,7.5128
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1989,Abundance (numbers/tow),3.8749,0.4532,0.9567,7.0817
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1990,Abundance (numbers/tow),7.592,0.3434,3.8194,11.9579
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1991,Abundance (numbers/tow),7.1116,0.2162,4.7039,9.5353
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1992,Abundance (numbers/tow),3.3914,0.3273,1.6497,5.2087
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1993,Abundance (numbers/tow),2.4031,0.3104,1.2135,3.6383
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1994,Abundance (numbers/tow),5.5759,0.2782,3.0316,8.4287
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1995,Abundance (numbers/tow),8.8536,0.1691,6.4388,11.4601
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1996,Abundance (numbers/tow),4.4919,0.2566,2.644,6.4337
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1997,Abundance (numbers/tow),4.5982,0.2254,2.9973,6.3261
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1998,Abundance (numbers/tow),4.8129,0.2624,2.7966,6.8426
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,1999,Abundance (numbers/tow),5.6611,0.2507,3.3777,8.1069
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2000,Abundance (numbers/tow),30.4393,0.3185,15.3284,47.5602
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2001,Abundance (numbers/tow),7.4598,0.1992,5.1852,10.0808
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2002,Abundance (numbers/tow),12.6532,0.186,8.6052,16.6243
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2003,Abundance (numbers/tow),6.1396,0.408,1.9497,10.3963
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2004,Abundance (numbers/tow),4.1687,0.0966,3.5324,4.8689
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2005,Abundance (numbers/tow),5.9849,0.2261,3.6904,8.1193
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2006,Abundance (numbers/tow),6.2415,0.3121,3.4995,9.8578
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2007,Abundance (numbers/tow),13.3503,0.3527,6.1363,21.9606
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2008,Abundance (numbers/tow),12.0536,0.2106,7.5691,16.4016
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2009,Abundance (numbers/tow),16.625,0.4442,7.0672,30.5072
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2010,Abundance (numbers/tow),19.185,0.3512,10.0309,32.3713
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2011,Abundance (numbers/tow),11.7302,0.2532,6.9014,16.7307
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2012,Abundance (numbers/tow),20.2187,0.4193,8.394,35.749
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2013,Abundance (numbers/tow),20.1069,0.285,11.0963,29.4052
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2014,Abundance (numbers/tow),19.9309,0.2194,13.4617,27.6433
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2015,Abundance (numbers/tow),14.3518,0.2675,8.747,21.4048
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2016,Abundance (numbers/tow),20.0869,0.2321,12.648,27.4189
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS spring BTS,SPRING,2017,Abundance (numbers/tow),14.4253,0.2278,9.5352,20.0868
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1978,Abundance (numbers/tow),18.104,0.1252,14.5263,21.9807
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1979,Abundance (numbers/tow),50.4877,0.1873,36.0909,67.9803
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1980,Abundance (numbers/tow),38.6139,0.1085,31.6108,45.6352
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1981,Abundance (numbers/tow),10.1229,0.1523,7.6637,12.6242
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1982,Abundance (numbers/tow),18.7968,0.1692,13.5935,24.0544
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1983,Abundance (numbers/tow),19.1005,0.2144,12.3386,25.7785
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1984,Abundance (numbers/tow),5.9126,0.1635,4.3929,7.5896
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1985,Abundance (numbers/tow),9.2736,0.2767,5.2039,13.9049
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1986,Abundance (numbers/tow),8.0218,0.266,4.7017,11.6082
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1987,Abundance (numbers/tow),9.2791,0.2442,5.5749,13.3639
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1988,Abundance (numbers/tow),24.0782,0.3008,12.5609,35.4699
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1989,Abundance (numbers/tow),8.4969,0.0606,7.6514,9.4048
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1990,Abundance (numbers/tow),18.3223,0.205,12.6325,24.5941
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1991,Abundance (numbers/tow),11.0627,0.183,7.9686,14.511
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1992,Abundance (numbers/tow),13.7356,0.1961,9.5587,18.4972
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1993,Abundance (numbers/tow),19.4767,0.1935,13.0926,25.4792
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1994,Abundance (numbers/tow),12.1138,0.104,10.0663,14.2813
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1995,Abundance (numbers/tow),25.798,0.1991,17.8768,34.8606
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1996,Abundance (numbers/tow),6.507,0.1164,5.2081,7.7733
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1997,Abundance (numbers/tow),6.8923,0.1072,5.7078,8.1448
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1998,Abundance (numbers/tow),12.8613,0.2109,8.3483,17.3842
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,1999,Abundance (numbers/tow),9.4432,0.0775,8.3128,10.7102
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2000,Abundance (numbers/tow),5.9299,0.1478,4.5771,7.4727
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2001,Abundance (numbers/tow),5.3934,0.1418,4.2265,6.7245
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2002,Abundance (numbers/tow),3.1817,0.1559,2.427,4.0928
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2003,Abundance (numbers/tow),7.6215,0.3334,3.993,11.9458
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2004,Abundance (numbers/tow),19.8879,0.3363,9.354,31.6582
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2005,Abundance (numbers/tow),9.2274,0.2877,4.8179,13.7397
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2006,Abundance (numbers/tow),10.5484,0.195,7.4083,14.1081
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2007,Abundance (numbers/tow),8.7461,0.2719,4.9945,12.7915
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2008,Abundance (numbers/tow),8.7216,0.1816,6.2298,11.285
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2009,Abundance (numbers/tow),8.1191,0.1634,5.9508,10.2087
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2010,Abundance (numbers/tow),9.89,0.1769,7.3722,13.1051
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2011,Abundance (numbers/tow),15.7558,0.1712,11.7285,20.3654
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2012,Abundance (numbers/tow),5.088,0.187,3.5894,6.7205
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2013,Abundance (numbers/tow),5.6633,0.1583,4.1882,7.0998
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2014,Abundance (numbers/tow),7.708,0.1516,5.7292,9.6172
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2015,Abundance (numbers/tow),19.9864,0.2977,11.8353,31.7255
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF fall BTS,FALL,2016,Abundance (numbers/tow),16.3333,0.2042,11.103,22.3953
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1978,Abundance (numbers/tow),37.3621,0.1915,25.5606,48.8201
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1979,Abundance (numbers/tow),37.7294,0.1336,29.8629,46.2972
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1980,Abundance (numbers/tow),30.4296,0.1325,24.296,37.5228
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1981,Abundance (numbers/tow),68.6893,0.1211,55.5055,83.1354
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1982,Abundance (numbers/tow),33.7345,0.1476,25.6218,42.3572
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1983,Abundance (numbers/tow),21.1734,0.1117,17.2008,25.1382
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1984,Abundance (numbers/tow),23.2993,0.1762,16.8126,29.9684
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1985,Abundance (numbers/tow),18.7213,0.1827,13.4626,24.3264
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1986,Abundance (numbers/tow),19.7058,0.2223,12.8233,26.8037
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1987,Abundance (numbers/tow),13.4352,0.0968,11.3142,15.5637
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1988,Abundance (numbers/tow),18.8186,0.2016,13.2219,25.56
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1989,Abundance (numbers/tow),23.0814,0.2036,16.0121,31.1189
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1990,Abundance (numbers/tow),26.7752,0.1404,21.2382,33.1672
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1991,Abundance (numbers/tow),9.8594,0.1516,7.5154,12.3437
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1992,Abundance (numbers/tow),20.3441,0.1463,15.3649,25.2644
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1993,Abundance (numbers/tow),14.3641,0.1526,10.4287,17.8077
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1994,Abundance (numbers/tow),31.3371,0.1325,24.5003,38.195
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1995,Abundance (numbers/tow),37.9103,0.0974,32.1047,44.1827
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1996,Abundance (numbers/tow),29.5552,0.1115,24.1847,34.7559
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1997,Abundance (numbers/tow),21.9644,0.1946,15.4599,29.6765
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1998,Abundance (numbers/tow),13.2702,0.1879,9.2216,17.354
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,1999,Abundance (numbers/tow),7.6412,0.1638,5.6451,9.7622
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,11,MADMF spring BTS,SPRING,2000,Abundance (numbers/tow),28.153,0.1308,22.0449,34.4304
